699;126;160;
695;128;160;
694;128;158;
711;126;160;
712;127;159;
710;130;165;
695;129;155;
695;127;160;
693;132;159;
699;126;165;
697;132;161;
684;129;161;
694;127;159;
699;127;162;
706;129;158;
686;127;160;
699;131;160;
702;133;159;
700;129;160;
705;130;160;
703;126;164;
698;127;157;
693;128;159;
700;130;162;
715;128;159;
709;127;161;
709;127;161;
708;127;166;
704;126;163;
701;128;162;
692;128;156;
706;130;156;
695;129;159;
698;128;167;
700;127;158;
648;127;160;
594;124;156;
549;122;156;
494;126;156;
459;127;145;
418;123;149;
387;127;146;
389;125;144;
390;124;149;
383;124;149;
392;128;147;
388;123;146;
382;126;149;
386;125;153;
386;128;146;
393;124;151;
387;124;149;
382;126;150;
386;124;147;
389;126;152;
382;121;149;
384;127;148;
388;126;148;
391;126;153;
385;126;146;
385;125;145;
369;123;150;
322;123;143;
250;117;149;
172;117;150;
122;117;149;
82;109;148;
62;108;155;
59;110;152;
61;106;154;
58;108;155;
57;110;145;
57;111;151;
60;108;149;
58;110;152;
57;105;152;
59;108;152;
56;106;149;
